TRIANGLE: P = 119540592208424; S = 7711838466693559687499811665
TRIANGLE: P = 27823346111951; S = 373995832447966389796223979
RECTANGLE: P = 400; S = 10000
RECTANGLE: P = 1160; S = 84100
RECTANGLE: P = 200; S = 2500
RECTANGLE: P = 80000000000000; S = 400000000000000000000000000
CICLE: P = 300; S = 7500
CICLE: P = 390; S = 12675
CICLE: P = 420; S = 14700
CICLE: P = 600; S = 30000
CICLE: P = 6000000000000000000000000000000000000000; S = 3000000000000000000000000000000000000000000000000000000000000000000000000000000
